n,fold_seed,lambda_nominal,expectation_shot,seed_simulator
27,1004,2.0,0.021647135416666668,11742
27,1005,1.0,0.090576171875,11750
27,1005,1.5,0.040974934895833336,11751
27,1005,2.0,0.013346354166666666,11752
27,1006,1.0,0.08748372395833333,11760
27,1006,1.5,0.047200520833333336,11761
27,1006,2.0,0.0263671875,11762
27,1007,1.0,0.09749348958333333,11770
27,1007,1.5,0.036295572916666664,11771
27,1007,2.0,0.024943033854166668,11772
28,1000,1.0,0.1160888671875,11800
28,1000,1.5,0.05419921875,11801
28,1000,2.0,0.027791341145833332,11802
28,1001,1.0,0.1102294921875,11810
28,1001,1.5,0.053304036458333336,11811
